A2AJ76	HBWS01000003	GO:0005886,GO:0030424,GO:0043025,GO:0005576,GO:0005576,GO:0005604,GO:0005938,GO:0030054,GO:0062023,GO:0062023,GO:0032154,GO:0031012
Q5ZIE6	HBWS01000033	GO:0005634,GO:0005737
O35936	HBWS01000036	GO:0005829,GO:0005737,GO:0016020,GO:0005829,GO:0005856,GO:0005886,GO:0005912,GO:0005925,GO:0016020,GO:0005829,GO:0005856,GO:0005886,GO:0005912,GO:0005925,GO:0016020,GO:0005829,GO:0016020
Q8K5C0	HBWS01000067	GO:0005634,GO:0005634,GO:0005634,GO:0005911,GO:0005634,GO:0016020,GO:0005634,GO:0005654,GO:0005911,GO:0005634,GO:0005654,GO:0005911,GO:0005634,GO:0016020
Q8NF50	HBWS01000072	GO:0031252,GO:0005737,GO:0005886,GO:0016020,GO:0042995,GO:0005829,GO:0031252,GO:0005737,GO:0005886,GO:0031258,GO:0005829,GO:0005886,GO:0005737,GO:0031256,GO:0016020,GO:0110165,GO:0005829,GO:0005886,GO:0005829,GO:0005886,GO:0005829,GO:0005886
P77989	HBWS01000078	
P61292	HBWS01000079	GO:0005634,GO:0005737,GO:0072357,GO:0005634,GO:0005737,GO:0005634,GO:0005654,GO:0005730,GO:0005737
Q8QZR1	HBWS01000082	GO:0005739,GO:0005739,GO:0005739,GO:0005739
Q8QZR1	HBWS01000083	GO:0005739,GO:0005739,GO:0005739,GO:0005739
Q9FZI8	HBWS01000086	GO:0016020,GO:0000325,GO:0000325,GO:0016020
Q96DH6	HBWS01000093	GO:0005844,GO:0005737,GO:0005737,GO:0005829,GO:0005844,GO:0005737,GO:0005737,GO:0005829,GO:0043231,GO:0005829,GO:0043231
O94812	HBWS01000098	GO:0099503,GO:0005886,GO:0031902,GO:0032588,GO:0055038,GO:0005829,GO:0005829,GO:0005886,GO:0031045,GO:0031901,GO:0031902,GO:0032588,GO:0055038,GO:0005737,GO:0005768,GO:0005794,GO:0005886,GO:0016020,GO:0098982,GO:0005794,GO:0005829,GO:0005886,GO:0031902,GO:0055038,GO:0098793,GO:0098793
O94812	HBWS01000099	GO:0099503,GO:0005886,GO:0031902,GO:0032588,GO:0055038,GO:0005829,GO:0005829,GO:0005886,GO:0031045,GO:0031901,GO:0031902,GO:0032588,GO:0055038,GO:0005737,GO:0005768,GO:0005794,GO:0005886,GO:0016020,GO:0098982,GO:0005794,GO:0005829,GO:0005886,GO:0031902,GO:0055038,GO:0098793,GO:0098793
Q63356	HBWS01000104	GO:0005737,GO:0005886,GO:0005902,GO:0015629,GO:0031982,GO:0005737,GO:0005856,GO:0005912,GO:0045334,GO:0016459,GO:0016459,GO:0005737,GO:0005856,GO:0031410,GO:0070161,GO:0032991,GO:0032437,GO:0005737,GO:0005856,GO:0005903,GO:0005912,GO:0045334,GO:0005737,GO:0005856,GO:0005903,GO:0005912,GO:0045334,GO:0005737,GO:0005856,GO:0030136,GO:0070161
Q8C206	HBWS01000108	GO:0005886,GO:0060170,GO:0016020,GO:0005886,GO:0016020,GO:0042995,GO:0060170
Q803F5	HBWS01000113	GO:0016020,GO:0016020
F1R4Y7	HBWS01000118	GO:0097539,GO:0005813,GO:0005814,GO:0005814,GO:0005737,GO:0005856,GO:0005814
P35556	HBWS01000122	GO:0031012,GO:0005576,GO:0005576,GO:0005576,GO:0005576,GO:0005576,GO:0005576,GO:0005576,GO:0005576,GO:0005576,GO:0005576,GO:0001527,GO:0005576,GO:0001527,GO:0062023,GO:0062023,GO:0005576,GO:0001527,GO:0062023,GO:0001527,GO:0005615
P07756	HBWS01000126	GO:0005739,GO:0005737,GO:0005634,GO:0005739,GO:0005886,GO:0016020,GO:0032991,GO:0005743,GO:0005739,GO:0042645,GO:0005730,GO:0005739,GO:0042645,GO:0005730,GO:0005739,GO:0005886
P0C6B8	HBWS01000145	GO:0005615,GO:0005576,GO:0005737,GO:0016020,GO:0005615,GO:0005634,GO:0005737,GO:0005576,GO:0005737,GO:0016020,GO:0005576,GO:0031012
O15050	HBWS01000149	
Q8CG08	HBWS01000174	GO:0031012,GO:0005581,GO:0005576,GO:0005615,GO:0016528
A6QLU1	HBWS01000190	GO:0005739,GO:0009331,GO:0005739,GO:0005739,GO:0005739
P04323	HBWS01000194	GO:0042575
Q5ZMC6	HBWS01000198	GO:0005737,GO:0005737,GO:0005737
Q4R6C7	HBWS01000200	
A5DID3	HBWS01000206	GO:0005634,GO:0005730
A3LNR4	HBWS01000207	GO:0005634,GO:0005730
Q9S158	HBWS01000211	
Q9C9U5	HBWS01000212	GO:0005634,GO:0005634,GO:0005739,GO:0005634
O09101	HBWS01000213	GO:0005789,GO:0005789,GO:0005783,GO:0016020,GO:0005789,GO:0005789,GO:0005789
Q86KC1	HBWS01000220	GO:0005576,GO:0005576
Q86KC1	HBWS01000221	GO:0005576,GO:0005576
B3EWZ5	HBWS01000231	GO:0016020,GO:0005576,GO:0005576
